Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BENCOOLEN,ROCHOR,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,MultiPolygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,DEPOT ROAD,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,SWISS CLUB,BUKIT TIMAH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
UTILITY,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,FRANKEL,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
CIVIC & COMMUNITY INSTITUTION,CENTRAL REGION,CHINATOWN,OUTRAM,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,CENTRAL REGION,CHATSWORTH,TANGLIN,Polygon,MultiPolygon,Polygon,Polygon
SPORTS & RECREATION,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,EAST REGION,KEMBANGAN,BEDOK,Polygon,MultiPolygon,Polygon,Polygon
SPORTS & RECREATION,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
SPORTS & RECREATION,CENTRAL REGION,KAMPONG JAVA,KALLANG,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS 2,WEST REGION,TUKANG,BOON LAY,Polygon,MultiPolygon,Polygon,Polygon
