Town name,BTO name,Project type,Launch date,Estimated completion date,Type,Total,Full brochure,Launch brochure,Notes & Errata
Kallang/Whampoa,Bendemeer Light,HS-BTO,30 May 2012,4Q 2016,mature,624,,"<a href=""/hdb-brochures/bto-launch-2012-05/BendemeerLight_McNairTowers_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-05/Bendemeer_Light_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Kallang/Whampoa,McNair Towers,HS-BTO,30 May 2012,4Q 2016,mature,861,,"<a href=""/hdb-brochures/bto-launch-2012-05/BendemeerLight_McNairTowers_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-05/McNair_Towers_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Batok,Skyline I @ Bukit Batok,HS-BTO,28 Mar 2012,2Q 2016,non-m,488,,"<a href=""/hdb-brochures/bto-launch-2012-03/Skyline_I_II_Bukit_Batok_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Skyline_I_II_Bukit_Batok_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Batok,Skyline II @ Bukit Batok,HS-BTO,28 Mar 2012,1Q 2017,non-m,744,,"<a href=""/hdb-brochures/bto-launch-2012-03/Skyline_I_II_Bukit_Batok_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Skyline_I_II_Bukit_Batok_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Fajar Hills,HS-BTO,28 Mar 2012,4Q 2015,mature,862,,"<a href=""/hdb-brochures/bto-launch-2012-03/Fajar_Hills_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Fajar_Hills_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Clementi,Clementi Ridges,HS-BTO,28 Mar 2012,3Q 2016,mature,684,,"<a href=""/hdb-brochures/bto-launch-2012-03/Clementi_Ridges_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Clementi_Ridges_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Geylang,MacPherson Residency,HS-BTO,28 Mar 2012,4Q 2015,mature,637,,"<a href=""/hdb-brochures/bto-launch-2012-03/MacPherson_Residency_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/MacPherson_Residency_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bedok,Ping Yi Greens,HS-BTO,28 Mar 2012,4Q 2015,mature,418,,"<a href=""/hdb-brochures/bto-launch-2012-03/Ping%2520Yi%2520Greens_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Ping%2520Yi%2520Greens_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Timah,Golden Kismis,HS-BTO,28 Mar 2012,3Q 2015,mature,132,,"<a href=""/hdb-brochures/bto-launch-2012-03/Golden_Kismis_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Golden_Kismis_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Toa Payoh,Golden Clover,HS-BTO,28 Mar 2012,3Q 2015,mature,188,,"<a href=""/hdb-brochures/bto-launch-2012-03/Golden_Clover_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-03/Golden_Clover_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Sunshine Gardens,HS-BTO,12 Jan 2012,2Q 2015,,1528,,"<a href=""/hdb-brochures/bto-launch-2012-01/Sunshine_Gardens_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-01/Sunshine_Gardens_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Lea,HS-BTO,12 Jan 2012,3Q 2015,,1150,,"<a href=""/hdb-brochures/bto-launch-2012-01/Fernvale_Lea_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-01/Fernvale_Lea_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Sunbeam,HS-BTO,12 Jan 2012,2Q 2015,,661,,"<a href=""/hdb-brochures/bto-launch-2012-01/Waterway_Sunbeam_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-01/Waterway_Sunbeam_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Tampines GreenTerrace,HS-BTO,12 Jan 2012,3Q 2014,,295,,"<a href=""/hdb-brochures/bto-launch-2012-01/Tampines_GreenTerrace_Alcoves_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-01/Tampines_GreenTerrace_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Tampines Alcoves,HS-BTO,12 Jan 2012,3Q 2014,,289,,"<a href=""/hdb-brochures/bto-launch-2012-01/Tampines_GreenTerrace_Alcoves_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2012-01/Tampines_GreenTerrace_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Ridges,HS-BTO,24 Nov 2011,2Q 2015,,832,,"<a href=""/hdb-brochures/bto-launch-2011-11/Waterway_Ridges_Waterway_Banks_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Waterway_Ridges_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Banks,HS-BTO,24 Nov 2011,2Q 2014,,1016,,"<a href=""/hdb-brochures/bto-launch-2011-11/Waterway_Ridges_Waterway_Banks_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Waterway_Banks_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Hougang Capeview,HS-BTO,24 Nov 2011,1Q 2015,,781,,"<a href=""/hdb-brochures/bto-launch-2011-11/Hougang_Capeview_Hougang_DewCourt_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Hougang_Capeview_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Hougang DewCourt,HS-BTO,24 Nov 2011,1Q 2015,,379,,"<a href=""/hdb-brochures/bto-launch-2011-11/Hougang_Capeview_Hougang_DewCourt_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Hougang_DewCourt_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Acacia Breeze,HS-BTO,24 Nov 2011,1Q 2015,,834,,"<a href=""/hdb-brochures/bto-launch-2011-11/Acacia_Breeze_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Acacia_Breeze_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Fajar Spring,HS-BTO,24 Nov 2011,4Q 2014,,264,,"<a href=""/hdb-brochures/bto-launch-2011-11/Fajar_Spring_Vista_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Fajar_Spring_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bedok,Golden Cassia,HS-BTO,24 Nov 2011,4Q 2014,,129,,"<a href=""/hdb-brochures/bto-launch-2011-11/Golden_Cassia_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-11/Golden_Cassia_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Woodcress,HS-BTO,22 Sep 2011,1Q 2015,,694,,"<a href=""/hdb-brochures/bto-launch-2011-09/Waterway_Brooks_Waterway_Woodcress_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Waterway_Woodcress_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Brooks,HS-BTO,22 Sep 2011,3Q 2015,,1312,,"<a href=""/hdb-brochures/bto-launch-2011-09/Waterway_Brooks_Waterway_Woodcress_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Waterway_Brooks_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Anchorvale Harvest,HS-BTO,22 Sep 2011,3Q 2014,,717,,"<a href=""/hdb-brochures/bto-launch-2011-09/Anchorvale_Harvest_Fernvale_Rivergrove_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Anchorvale_Harvest_Maps&Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Rivergrove,HS-BTO,22 Sep 2011,3Q 2015,,1728,,"<a href=""/hdb-brochures/bto-launch-2011-09/Anchorvale_Harvest_Fernvale_Rivergrove_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Fernvale_Rivergrove_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Ang Mo Kio,Yio Chu Kang Vista,HS-BTO,22 Sep 2011,4Q 2014,,256,,"<a href=""/hdb-brochures/bto-launch-2011-09/Yio_Chu_Kang_Vista_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Yio_Chu_Kang_Vista_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong East,Teban View,HS-BTO,22 Sep 2011,4Q 2015,,518,,"<a href=""/hdb-brochures/bto-launch-2011-09/Teban_View_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Teban_View_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Golden Peony,HS-BTO,22 Sep 2011,3Q 2014,,190,,"<a href=""/hdb-brochures/bto-launch-2011-09/Golden_Peony_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-09/Golden_Peony_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Yishun Natura,HS-BTO,14 Jul 2011,4Q 2014,,364,,"<a href=""/hdb-brochures/bto-launch-2011-07/Yishun_Natura_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Yishun_Natura_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Segar Meadows,HS-BTO,14 Jul 2011,3Q 2014,,300,,"<a href=""/hdb-brochures/bto-launch-2011-07/Segar_Meadows_Maps&amp;Plans.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Segar_Meadows_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Segar Palmview,HS-BTO,14 Jul 2011,4Q 2014,,682,,"<a href=""/hdb-brochures/bto-launch-2011-07/Segar_Meadows_Maps&amp;Plans.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Segar_Palmview_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Anchorvale Isles,HS-BTO,14 Jul 2011,2Q 2014,,675,,"<a href=""/hdb-brochures/bto-launch-2011-07/Anchorvale_Isles_Fernvale_Riverbow_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Anchorvale_Isles_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Riverbow,HS-BTO,14 Jul 2011,4Q 2014,,1154,,"<a href=""/hdb-brochures/bto-launch-2011-07/Anchorvale_Isles_Fernvale_Riverbow_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Fernvale_Riverbow_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Golden Carnation,HS-BTO,14 Jul 2011,1Q 2014,,149,,"<a href=""/hdb-brochures/bto-launch-2011-07/Golden_Carnation_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Golden_Carnation_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Golden Orchid,HS-BTO,14 Jul 2011,2Q 2014,,232,,"<a href=""/hdb-brochures/bto-launch-2011-07/Golden_Orchid_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-07/Golden_Orchid_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Pasir Ris,Costa Ris,HS-BTO,27 May 2011,3Q 2014,,1386,,"<a href=""/hdb-brochures/bto-launch-2011-05/Costa_Ris_Golden_Lily_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-05/Costa_Ris_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Pasir Ris,Golden Lily,HS-BTO,27 May 2011,4Q 2013,,185,,"<a href=""/hdb-brochures/bto-launch-2011-05/Costa_Ris_Golden_Lily_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-05/Golden_Lily_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Parcvista,HS-BTO,27 May 2011,2Q 2014,,682,,"<a href=""/hdb-brochures/bto-launch-2011-05/Punggol_Parcvista_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-05/Punggol_Parcvista_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Tampines GreenLeaf,HS-BTO,27 May 2011,3Q 2014,,960,,"<a href=""/hdb-brochures/bto-launch-2011-05/Tampines_GreenLeaf_GreenWood_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-05/Tampines_GreenLeaf_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Tampines,Tampines GreenWood,HS-BTO,27 May 2011,2Q 2014,,522,,"<a href=""/hdb-brochures/bto-launch-2011-05/Tampines_GreenLeaf_GreenWood_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-05/Tampines_GreenWood_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Woodlands Peak,HS-BTO,27 May 2011,3Q 2015,,222,,"<a href=""/hdb-brochures/bto-launch-2011-05/Woodlands_Peak_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-05/Woodlands_Peak_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Terraces II,HS-BTO,25 Apr 2011,2Q 2015,,804,,"<a href=""/hdb-brochures/bto-launch-2011-04/Waterway_Terraces_II_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-04/Waterway_Terraces_II_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Anchorvale Cove,HS-BTO,25 Apr 2011,4Q 2014,,1011,,"<a href=""/hdb-brochures/bto-launch-2011-04/Anchorvale_Cove_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-04/Anchorvale_Cove_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Hougang Parkview,HS-BTO,25 Apr 2011,2Q 2014,,792,,"<a href=""/hdb-brochures/bto-launch-2011-04/Hougang_Parkview_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-04/Hougang_Parkview_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,Montreal Ville,HS-BTO,25 Apr 2011,1Q 2014,,578,,"<a href=""/hdb-brochures/bto-launch-2011-04/Montreal_Ville_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-04/Montreal_Ville_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Boon Lay Fields,HS-BTO,24 Mar 2011,1Q 2014,,491,,"<a href=""/hdb-brochures/bto-launch-2011-03/Boon_Lay_Fields_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-03/Boon_Lay_Fields_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Compassvale Ancilla,HS-BTO,24 Mar 2011,3Q 2014,,1038,,"<a href=""/hdb-brochures/bto-launch-2011-03/Compassvale_Ancilla_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-03/Compassvale_Ancilla_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Flora,HS-BTO,28 Feb 2011,2Q 2014,,521,,"<a href=""/hdb-brochures/bto-launch-2011-02/Fernvale_Flora_Fernvale_Gardens_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-02/Fernvale_Flora_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Gardens,HS-BTO,28 Feb 2011,2Q 2014,,382,,"<a href=""/hdb-brochures/bto-launch-2011-02/Fernvale_Flora_Fernvale_Gardens_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-02/Fernvale_Gardens_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Segar Vale,HS-BTO,28 Feb 2011,2Q 2014,,690,,"<a href=""/hdb-brochures/bto-launch-2011-02/Segar_Vale_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-02/Segar_Vale_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Batok,Golden Daisy,HS-BTO,25 Jan 2011,1Q 2014,,180,,"<a href=""/hdb-brochures/bto-launch-2011-01/Golden_Daisy_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-01/Golden_Daisy_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Orchid Spring @ Yishun,HS-BTO,25 Jan 2011,4Q 2014,,948,,"<a href=""/hdb-brochures/bto-launch-2011-01/Orchid_Spring_Maps&amp;Plans.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-01/Orchid_Spring_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Vista Spring @ Yishun,HS-BTO,25 Jan 2011,3Q 2014,,696,,"<a href=""/hdb-brochures/bto-launch-2011-01/Orchid_Spring_Maps&amp;Plans.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2011-01/Vista_Spring_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Topaz,HS-BTO,22 Dec 2010,2Q 2015,,1010,,"<a href=""/hdb-brochures/bto-launch-2010-12/Punggol_Topaz_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-12/Punggol_Topaz_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Yishun Greenwalk,HS-BTO,18 Nov 2010,3Q 2014,,1176,,"<a href=""/hdb-brochures/bto-launch-2010-11/Yishun_Greenwalk_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-11/Yishun_Greenwalk_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Anchorvale Horizon,HS-BTO,26 Oct 2010,1Q 2014,,745,,"<a href=""/hdb-brochures/bto-launch-2010-10/Anchorvale_Horizon_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-10/Anchorvale_Horizon_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Senja Parc View,HS-BTO,26 Oct 2010,4Q 2014,,577,,"<a href=""/hdb-brochures/bto-launch-2010-10/Senja_Parc_View_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-10/Senja_Parc_View_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Woodlands Dew,HS-BTO,21 Sep 2010,2Q 2014,,789,,"<a href=""/hdb-brochures/bto-launch-2010-09/Woodlands_Dew_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-09/Woodlands_Dew_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Woodlands Meadow,HS-BTO,21 Sep 2010,2Q 2014,,540,,"<a href=""/hdb-brochures/bto-launch-2010-09/Woodlands_Meadow_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-09/Woodlands_Meadow_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Yishun Riverwalk,HS-BTO,31 Aug 2010,4Q 2014,,1408,,"<a href=""/hdb-brochures/bto-launch-2010-08/Yishun_Riverwalk_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-08/Yishun_Riverwalk_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Corporation Tiara,HS-BTO,29 Jul 2010,2Q 2014,,465,,"<a href=""/hdb-brochures/bto-launch-2010-07/Corporation_Tiara_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-07/Corporation_Tiara_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Bukit Panjang,Senja Gateway,HS-BTO,29 Jul 2010,3Q 2014,,741,,"<a href=""/hdb-brochures/bto-launch-2010-07/Senja_Gateway_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-07/Senja_Gateway_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Waterway Terraces,HS-BTO,30 Jun 2010,1Q 2015,,1072,,"<a href=""/hdb-brochures/bto-launch-2010-06/Waterway_Terraces_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-06/Waterway_Terraces_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Foliage,HS-BTO,30 Jun 2010,2Q 2014,,504,,"<a href=""/hdb-brochures/bto-launch-2010-06/Fernvale_Foliage_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-06/Fernvale_Foliage_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Rivervale Arc,HS-BTO,30 Jun 2010,1Q 2014,,1120,,"<a href=""/hdb-brochures/bto-launch-2010-06/Rivervale_Arc_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-06/Rivervale_Arc_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Jurong West,Boon Lay Grove,HS-BTO,06 May 2010,4Q 2013,,450,,"<a href=""/hdb-brochures/bto-launch-2010-05/Boon_Lay_Grove_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-05/Boon_Lay_Grove_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Yishun,Floral Spring,HS-BTO,06 May 2010,1Q 2014,,600,,"<a href=""/hdb-brochures/bto-launch-2010-05/Floral_Spring_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-05/Floral_Spring_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Emerald,HS-BTO,20 Apr 2010,2Q 2014,,856,,"<a href=""/hdb-brochures/bto-launch-2010-04/Punggol_Emerald_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-04/Punggol_Emerald_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Waves,HS-BTO,20 Apr 2010,1Q 2014,,573,,"<a href=""/hdb-brochures/bto-launch-2010-04/Punggol_Waves_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-04/Punggol_Waves_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sengkang,Fernvale Ridge,HS-BTO,16 Mar 2010,2Q 2014,,522,,"<a href=""/hdb-brochures/bto-launch-2010-03/Fernvale_Ridge_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-03/Fernvale_Ridge_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,Sembawang Riverlodge,HS-BTO,16 Mar 2010,2Q 2014,,432,,"<a href=""/hdb-brochures/bto-launch-2010-03/Sembawang_RiverLodge_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-03/Sembawang_RiverLodge_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Crest,HS-BTO,11 Feb 2010,4Q 2013,,750,,"<a href=""/hdb-brochures/bto-launch-2010-02/Punggol_Crest_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-02/Punggol_Crest_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Woodlands,Treegrove @ Woodlands,HS-BTO,11 Feb 2010,4Q 2014,,784,,"<a href=""/hdb-brochures/bto-launch-2010-02/Treegrove@Woodlands_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-02/Treegrove@Woodlands_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Hougang,Buangkok Vale,HS-BTO,05 Jan 2010,1Q 2014,,699,,"<a href=""/hdb-brochures/bto-launch-2010-01/Buangkok_Vale_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-01/Buangkok_Vale_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Choa Chu Kang,Limbang Green,HS-BTO,05 Jan 2010,3Q 2013,,592,,"<a href=""/hdb-brochures/bto-launch-2010-01/Limbang_Green_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2010-01/Limbang_Green_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
,,,Year 2009,,,8893,,,
Bukit Panjang,Segar Grove,HS-BTO,15 Dec 2009,Dec 2013,,528,,"<a href=""/hdb-brochures/bto-launch-2009-12/Segar_Grove_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2009-12/Segar_Grove_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Queenstown,SkyTerrace @ Dawson,HS-BTO,15 Dec 2009,Dec 2014,,758,,"<a href=""/hdb-brochures/bto-launch-2009-12/SkyTerrace@Dawson_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2009-12/SkyTerrace@Dawson_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Queenstown,SkyVille @ Dawson,HS-BTO,15 Dec 2009,Dec 2014,,960,,"<a href=""/hdb-brochures/bto-launch-2009-12/SkyVille@Dawson_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2009-12/SkyVille@Dawson_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Sembawang,Montreal Dale,HS-BTO,15 Dec 2009,Dec 2013,,424,,"<a href=""/hdb-brochures/bto-launch-2009-12/Montreal_Dale_General_Info.pdf"" target=""blank"">info</a> <a href=""/hdb-brochures/bto-launch-2009-12/Montreal_Dale_Maps&amp;Plans.pdf"" target=""blank"">plans</a>",
Punggol,Punggol Ripples,HS-BTO,16 Nov 2009,Nov 2013,,472,,,Wikipedia say 403 4-room
Punggol,Punggol Sails,HS-BTO,16 Nov 2009,Nov 2013,,606,,,
Jurong West,Boon Lay Meadow,HS-BTO,16 Oct 2009,Oct 2013,,705,,,
Sengkang,Fernvale Palms,HS-BTO,16 Oct 2009,Oct 2013,,495,,,
Punggol,Punggol Spectra,HS-BTO,31 Aug 2009,Aug 2013,,1142,,,
Punggol,Punggol Residences,HS-BTO,30 Jul 2009,Jul 2013,,769,,,
Sengkang,Fernvale Crest,HS-BTO,02 Jun 2009,Jun 2013,,700,,,
Punggol,The Nautilus @ Punggol,HS-BTO,26 Mar 2009,Mar 2013,,519,,,
Woodlands,Champions Court,HS-BTO,25 Feb 2009,Feb 2013,,815,,,
